FULL_CODE,PAR_CODE,PAR_NAME,DUN_CODE,DUN_NAME,DM_CODE,DM_NAME,POPULATION
019/01/01,019,TUMPAT,01,PENGKALAN KUBOR,01,PENGKALAN KUBOR,2594
019/01/02,019,TUMPAT,01,PENGKALAN KUBOR,02,KAMPUNG KETIL,3415
019/01/03,019,TUMPAT,01,PENGKALAN KUBOR,03,KAMPUNG TEBING,1552
019/01/04,019,TUMPAT,01,PENGKALAN KUBOR,04,KAMPUNG GETING,3528
019/01/05,019,TUMPAT,01,PENGKALAN KUBOR,05,KEDAI GETING,1579
019/01/06,019,TUMPAT,01,PENGKALAN KUBOR,06,TUJOH,2978
019/01/07,019,TUMPAT,01,PENGKALAN KUBOR,07,SIMPANGAN,1643
019/01/08,019,TUMPAT,01,PENGKALAN KUBOR,08,JUBAKAR DARAT,1016
019/01/09,019,TUMPAT,01,PENGKALAN KUBOR,09,BUNOHAN,1524
019/01/10,019,TUMPAT,01,PENGKALAN KUBOR,10,TELAGA BATA,1745
019/01/11,019,TUMPAT,01,PENGKALAN KUBOR,11,KAMPUNG BENDANG PAK YONG,2937
019/01/12,019,TUMPAT,01,PENGKALAN KUBOR,12,KAMPUNG TELOK JERING,684
019/02/01,019,TUMPAT,02,KELABORAN,01,JUBAKAR PANTAI,2199
019/02/02,019,TUMPAT,02,KELABORAN,02,DALAM RHU,2482
019/02/03,019,TUMPAT,02,KELABORAN,03,BANDAR TUMPAT,2418
019/02/04,019,TUMPAT,02,KELABORAN,04,TANJONG KUALA,1636
019/02/05,019,TUMPAT,02,KELABORAN,05,KAMPUNG KELONG,837
019/02/06,019,TUMPAT,02,KELABORAN,06,PULAU BELURU,1892
019/02/07,019,TUMPAT,02,KELABORAN,07,SUNGAI PINANG,1372
019/02/08,019,TUMPAT,02,KELABORAN,08,MAK NERALANG,984
019/02/09,019,TUMPAT,02,KELABORAN,09,KAMPUNG BESUT,1455
019/02/10,019,TUMPAT,02,KELABORAN,10,KELABORAN,1742
019/02/11,019,TUMPAT,02,KELABORAN,11,TERBAK,2452
019/02/12,019,TUMPAT,02,KELABORAN,12,KAMPUNG BERANGAN,2325
019/02/13,019,TUMPAT,02,KELABORAN,13,KAMPUNG PADANG TEMBESU,2087
019/02/14,019,TUMPAT,02,KELABORAN,14,KAMPUNG PASIR PUTEH,934
019/03/01,019,TUMPAT,03,PASIR PEKAN,01,KOK PASIR,2298
019/03/02,019,TUMPAT,03,PASIR PEKAN,02,KOK KELI,2355
019/03/03,019,TUMPAT,03,PASIR PEKAN,03,KAMPUNG BENDANG PULAU,1228
019/03/04,019,TUMPAT,03,PASIR PEKAN,04,KAMPUNG LAUT,2291
019/03/05,019,TUMPAT,03,PASIR PEKAN,05,PALEKBANG,1420
019/03/06,019,TUMPAT,03,PASIR PEKAN,06,MORAK,2537
019/03/07,019,TUMPAT,03,PASIR PEKAN,07,PALOH,1850
019/03/08,019,TUMPAT,03,PASIR PEKAN,08,PASIR PEKAN HILIR,1482
019/03/09,019,TUMPAT,03,PASIR PEKAN,09,KAMPUNG DALAM KOTA KUBANG LABU,2263
019/03/10,019,TUMPAT,03,PASIR PEKAN,10,KAMPUNG BHARU SUNGAI,1802
019/03/11,019,TUMPAT,03,PASIR PEKAN,11,PASIR PEKAN,2330
019/03/12,019,TUMPAT,03,PASIR PEKAN,12,KUTAN,3464
019/04/01,019,TUMPAT,04,WAKAF BHARU,01,CHERANG MELINTANG,887
019/04/02,019,TUMPAT,04,WAKAF BHARU,02,CHABANG EMPAT,2265
019/04/03,019,TUMPAT,04,WAKAF BHARU,03,KAMPUNG PERIOK,1737
019/04/04,019,TUMPAT,04,WAKAF BHARU,04,BUNUT SARANG BURONG,1696
019/04/05,019,TUMPAT,04,WAKAF BHARU,05,KEBAKAT,2113
019/04/06,019,TUMPAT,04,WAKAF BHARU,06,CHENDERONG BATU,2603
019/04/07,019,TUMPAT,04,WAKAF BHARU,07,KAMPUNG KUBANG BATANG,1993
019/04/08,019,TUMPAT,04,WAKAF BHARU,08,KAMPUNG JAL BESAR,1622
019/04/09,019,TUMPAT,04,WAKAF BHARU,09,KAMPUNG TOK OH,1129
019/04/10,019,TUMPAT,04,WAKAF BHARU,10,JAL KECHIL,1293
019/04/11,019,TUMPAT,04,WAKAF BHARU,11,WAKAF DELIMA,2182
019/04/12,019,TUMPAT,04,WAKAF BHARU,12,KAMPUNG BELUKAR,1394
019/04/13,019,TUMPAT,04,WAKAF BHARU,13,WAKAF BHARU KEDAI,2674
019/04/14,019,TUMPAT,04,WAKAF BHARU,14,ALOR PASIR,2400
020/05/01,020,PENGKALAN CHEPA,05,SEMUT API,01,PULAU PISANG,3092
020/05/02,020,PENGKALAN CHEPA,05,SEMUT API,02,PULAU KUNDOR,1492
